  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00     0.91      0.00       20     0.00     0.00  Hash#include?
  0.00     0.91      0.00       19     0.00     0.00  Fixnum#-
  0.00     0.91      0.00       20     0.00     0.00  Fixnum#_!
  0.00     0.91      0.00        1     0.00     0.00  CCode#fact
  0.00     0.91      0.00        1     0.00     0.00  SystemExit#initialize
  0.00     0.91      0.00        1     0.00     0.00  Kernel#exit
  0.00     0.91      0.00        1     0.00     0.00  Object#main
  0.00     0.91      0.00        2     0.00     0.00  File#flock
  0.00     0.91      0.00        1     0.00     0.00  IO#write
  0.00     0.91      0.00        1     0.00     0.00  Marshal.dump
  0.00     0.91      0.00        1     0.00     0.00  TracePoint#disable
  0.00     0.93      0.00        1     0.00   930.00  #toplevel
